직업,직업각인,각성,결투의 대가,구슬동자,급소 타격,기습의 대가,달인의 저력,돌격대장,마나 효율 증가,마나의 흐름,바리케이드,속전속결,슈퍼 차지,아드레날린,안정된 상태,에테르 포식자,예리한 둔기,원한,위기 모면,저주받은 인형,전문의,정기 흡수,정밀 단도,중갑 착용,질량 증가,최대 마나 증가,타격의 대가,폭발물 전문가
건슬링어,사냥의 시간,0.0,0.0,0.0,0.0,0.0,0.0,15.84,5.71,0.0,0.0,0.0,0.0,97.14,12.99,6.75,99.74,100.0,0.0,80.52,0.0,0.0,0.0,0.0,7.79,0.0,85.45,0.0
기공사,세맥타통,0.0,0.0,0.0,0.0,0.0,0.0,17.01,0.0,0.0,0.0,0.0,0.0,100.0,35.88,0.0,27.39,97.33,0.0,93.96,0.0,0.0,64.28,0.0,63.0,0.0,0.0,0.0
기공사,역천지체,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.7,3.01,96.72,100.0,0.0,92.35,0.0,0.0,12.02,0.0,85.25,0.0,0.0,0.0
기상술사,이슬비,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,93.92,94.63,0.0,85.76,0.0,0.0,0.0,0.0,0.0,0.0,95.47,0.0
기상술사,질풍노도,0.0,0.0,0.0,0.0,0.0,0.0,99.91,7.59,0.0,0.0,0.0,0.0,99.5,8.5,4.5,3.78,100.0,0.0,81.4,0.0,0.0,0.0,0.0,10.64,0.0,86.82,0.0
데모닉,멈출 수 없는 충동,0.0,0.0,0.0,0.0,0.0,0.0,98.88,0.0,0.0,0.0,0.0,0.0,99.44,7.54,0.0,100.0,98.92,0.0,84.45,0.0,0.0,0.0,0.0,0.0,0.0,8.23,0.0
데모닉,완벽한 억제,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,94.85,0.0,0.0,94.61,92.27,0.0,76.35,0.0,0.0,0.0,0.0,16.39,0.0,0.0,0.0
데빌헌터,전술 탄환,0.0,0.0,0.0,0.0,98.26,0.0,0.0,28.78,0.0,0.0,0.0,0.0,84.6,4.79,0.0,93.53,100.0,0.0,86.94,0.0,0.0,0.0,0.0,7.18,0.0,0.0,0.0
데빌헌터,핸드 거너,0.0,0.0,0.0,0.0,0.0,0.0,17.39,0.0,0.0,0.0,0.0,0.0,100.0,25.14,0.0,0.0,91.87,0.0,91.87,0.0,0.0,70.89,0.0,64.27,0.0,0.0,0.0
도화가,만개,100.0,0.0,71.83,38.38,0.0,0.0,0.0,0.0,99.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28,0.0,0.0,88.17,0.0,2.64,0.0,0.0
도화가,회귀,39.84,0.0,0.0,0.0,0.0,0.0,93.06,38.45,49.06,0.0,0.0,0.0,62.04,0.0,0.0,67.35,47.51,0.0,82.53,30.12,0.0,0.0,40.41,0.0,0.0,0.0,0.0
디스트로이어,분노의 망치,0.0,98.07,0.0,0.0,0.0,0.0,0.0,9.95,0.0,100.0,0.0,97.12,9.19,7.87,0.0,0.0,99.23,0.0,80.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
디스트로이어,중력 수련,0.0,94.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,34.86,0.0,58.69,98.0,0.0,88.03,0.0,14.79,6.34,0.0,0.0,0.0,0.0,0.0
리퍼,갈증,0.0,0.0,0.0,0.0,98.05,0.0,99.28,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17.76,98.75,0.0,17.44,0.0,0.0,0.0,0.0,71.93,0.0,0.0,0.0
리퍼,달의 소리,0.0,0.0,0.0,0.0,100.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,97.98,3.13,2.53,98.89,100.0,0.0,94.94,0.0,1.31,0.0,0.0,2.33,0.0,0.0,0.0
바드,절실한 구원,100.0,0.0,61.21,21.59,0.0,0.0,0.0,0.0,98.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.58,2.05,0.0,68.08,0.0,52.93,0.0,1.34
바드,진실된 용맹,49.37,0.0,0.0,0.0,0.0,0.0,70.11,39.04,52.32,0.0,0.0,0.0,90.79,0.0,0.0,80.01,60.09,0.0,100.0,35.03,0.0,0.0,44.17,0.0,0.0,0.0,0.0
배틀마스터,오의 강화,0.0,0.0,0.0,0.0,0.0,0.0,97.37,0.0,0.0,0.0,0.0,0.0,99.79,6.12,0.0,100.0,98.22,0.0,78.2,0.0,0.0,0.0,0.0,20.19,0.0,0.0,0.0
배틀마스터,초심,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,94.73,0.0,0.0,89.15,93.07,0.0,29.38,0.0,0.0,0.0,0.0,70.92,0.0,0.0,0.0
버서커,광기,0.0,0.0,0.0,0.0,0.0,100.0,98.68,17.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.77,97.58,0.0,79.77,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0
버서커,광전사의 비기,0.0,0.0,0.0,0.0,4.14,0.0,100.0,1.53,0.0,0.0,0.0,0.0,8.28,43.36,4.58,99.56,99.35,0.0,96.3,0.0,0.0,0.0,0.0,42.05,0.0,0.0,0.0
브레이커,권왕파천무,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.73,100.0,0.0,0.0,99.78,97.44,0.0,90.03,0.0,0.0,0.0,0.0,0.0,0.0,8.36,0.0
브레이커,수라의 길,0.0,97.07,0.0,0.0,0.0,0.0,96.6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,95.21,99.08,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
블래스터,포격 강화,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.16,0.0,99.21,7.19,0.0,100.0,100.0,0.0,75.52,0.0,0.0,0.0,0.0,0.0,0.0,56.29,0.0
블래스터,화력 강화,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.85,0.0,0.0,100.0,90.55,0.0,86.64,0.0,0.0,0.0,0.0,0.0,0.0,84.1,0.0
블레이드,버스트 강화,0.0,0.0,0.0,0.0,99.05,0.0,17.38,0.0,0.0,0.0,0.0,0.0,100.0,2.75,0.0,93.29,99.23,0.0,79.95,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0
블레이드,잔재된 기운,0.0,0.0,0.0,0.0,96.81,0.0,68.58,0.0,0.0,0.0,0.0,9.55,100.0,0.0,0.0,74.92,97.55,0.0,44.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서머너,넘치는 교감,0.0,0.0,0.0,0.0,0.0,0.0,96.82,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,97.95,0.0,28.86,0.0,0.0,0.0,0.0,56.36,0.0,15.45,0.0
서머너,상급 소환사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.34,6.6,4.0,100.0,98.79,0.0,92.79,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0
소서리스,점화,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.26,0.0,0.0,99.78,0.0,100.0,2.53,0.0,19.03,99.48,0.0,65.85,0.0,0.0,0.0,0.0,0.0,0.0,86.37,0.0
소서리스,환류,0.0,0.0,0.0,0.0,0.0,0.0,49.02,77.7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,51.18,87.33,0.0,46.07,0.0,0.0,0.0,0.0,0.0,0.0,78.39,0.0
소울이터,그믐의 경계,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,93.58,0.0,0.0,96.97,93.36,0.0,79.68,0.0,0.0,0.0,0.0,13.37,0.0,0.0,0.0
소울이터,만월의 집행자,0.0,0.0,0.0,0.0,0.0,0.0,98.85,32.59,0.0,0.0,0.0,0.0,100.0,0.0,0.0,99.09,98.58,0.0,60.64,0.0,0.0,0.0,0.0,5.24,0.0,3.86,0.0
스카우터,아르데타인의 기술,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,95.19,0.0,0.0,95.31,91.86,0.0,11.96,0.0,0.0,0.0,0.0,84.96,0.0,0.0,0.0
스카우터,진화의 유산,0.0,0.0,0.0,0.0,0.0,0.0,98.01,0.0,0.0,87.34,0.0,0.0,100.0,6.83,0.0,94.48,99.14,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
스트라이커,오의난무,0.0,0.0,0.0,0.0,97.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.91,0.0,0.0,70.91,100.0,0.0,94.06,0.0,0.0,0.0,0.0,62.7,0.0,0.0,0.0
스트라이커,일격필살,0.0,0.0,0.0,0.0,84.28,0.0,0.0,0.0,0.0,0.0,0.0,92.21,99.53,0.0,0.0,56.77,100.0,0.0,66.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
슬레이어,처단자,0.0,0.0,0.0,0.0,90.07,0.0,97.05,0.0,0.0,0.0,0.0,0.0,89.99,2.38,1.07,52.26,100.0,0.0,55.13,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0
슬레이어,포식자,0.0,0.0,0.0,0.0,93.04,0.0,100.0,6.66,0.0,0.0,0.0,0.0,82.55,0.0,0.0,0.0,97.6,0.0,28.95,0.0,0.0,0.0,0.0,84.64,0.0,0.0,0.0
아르카나,황제의 칙령,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,92.33,0.0,0.0,0.0,83.87,0.0,66.85,0.0,0.0,0.0,0.0,62.86,0.0,45.45,0.0
아르카나,황후의 은총,0.0,0.0,0.0,0.0,0.0,0.0,99.37,11.93,0.0,0.0,0.0,0.0,100.0,26.18,2.3,3.28,99.55,0.0,91.8,0.0,0.0,0.0,0.0,47.37,0.0,18.14,0.0
워로드,고독한 기사,0.0,96.32,0.0,0.0,0.0,0.0,0.0,24.08,0.0,74.4,0.0,100.0,17.42,7.88,0.0,0.0,98.51,0.0,80.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
워로드,전투 태세,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31,0.0,97.82,0.0,0.0,100.0,28.23,0.0,92.4,99.62,0.0,78.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인파이터,극의 : 체술,0.0,0.0,0.0,0.0,97.09,0.0,53.69,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,82.56,98.16,0.0,63.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인파이터,충격 단련,0.0,0.0,0.0,0.0,96.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,98.51,98.51,0.0,96.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
창술사,절정,0.0,0.0,0.0,0.0,88.68,0.0,100.0,47.51,0.0,0.0,0.0,0.0,8.9,24.61,2.37,2.69,99.02,0.0,95.06,0.0,0.0,0.0,0.0,31.45,0.0,0.0,0.0
창술사,절제,0.0,0.0,0.0,0.0,62.35,0.0,100.0,0.0,0.0,0.0,0.0,0.0,71.23,0.0,0.0,0.0,78.82,0.0,76.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
호크아이,두 번째 동료,0.0,0.0,0.0,0.0,0.0,0.0,67.88,0.0,0.0,0.0,0.0,0.0,98.25,0.0,0.0,100.0,99.46,0.0,82.66,0.0,0.0,0.0,0.0,0.0,0.0,75.67,0.0
호크아이,죽음의 습격,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,100.0,10.85,2.49,92.44,99.77,0.0,96.67,0.0,0.0,0.0,0.0,2.44,0.0,91.92,0.0
홀리나이트,심판자,40.4,0.0,0.0,0.0,38.84,0.0,58.33,55.37,43.93,0.0,0.0,0.0,64.83,32.49,0.0,83.47,68.08,0.0,100.0,31.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
홀리나이트,축복의 오라,100.0,0.0,82.91,87.11,0.0,0.0,0.0,0.0,99.74,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,1.96,1.32,99.02,0.0,0.0,21.02,0.0,4.63,0.0,2.3
